"source_file","dataset","recomp_ratio","method","metric","value"
"202604150012_blend.output","blend_demo",NA,"full_reuse","avg_ttft_s",0.580411160199947
"202604150012_blend.output","blend_demo",NA,"full_reuse","avg_total_s",0.712006411699622
"202604150012_blend.output","blend_demo",NA,"full_prefill","avg_ttft_s",0.796215637400019
"202604150012_blend.output","blend_demo",NA,"full_prefill","avg_total_s",0.932062969500112
"202604150012_blend.output","blend_demo",NA,"query_aware","avg_ttft_s",0.46131014969942
"202604150012_blend.output","blend_demo",NA,"query_aware","avg_total_s",0.736847539499649
"202604150012_blend.output","blend_demo",NA,NA,"avg_ttft_s",1.38651620720011
"202604150012_blend.output","blend_demo",NA,NA,"avg_total_s",1.51724058230029
"202604150012_blend.output","blend_demo",NA,"query_aware","true_recompute_count",10
"202604150057_wikimqa.output","wikimqa",NA,"full_reuse","avg_ttft_s",1.1321557979998
"202604150057_wikimqa.output","wikimqa",NA,"full_reuse","avg_total_s",1.36833464529991
"202604150057_wikimqa.output","wikimqa",NA,"full_reuse","avg_f1",0.133333333333333
"202604150057_wikimqa.output","wikimqa",NA,"full_prefill","avg_ttft_s",1.42560089789986
"202604150057_wikimqa.output","wikimqa",NA,"full_prefill","avg_total_s",1.66390119469979
"202604150057_wikimqa.output","wikimqa",NA,"full_prefill","avg_f1",0.133333333333333
"202604150057_wikimqa.output","wikimqa",NA,"query_aware","avg_ttft_s",0.0568722796997463
"202604150057_wikimqa.output","wikimqa",NA,"query_aware","avg_total_s",0.293929433999801
"202604150057_wikimqa.output","wikimqa",NA,"query_aware","avg_f1",0.133333333333333
"202604150057_wikimqa.output","wikimqa",NA,NA,"avg_ttft_s",0.0581033621998358
"202604150057_wikimqa.output","wikimqa",NA,NA,"avg_total_s",0.297413807699559
"202604150057_wikimqa.output","wikimqa",NA,NA,"avg_f1",0.133333333333333
"202604150228_musique_curve.output","musique",0.15,"full_reuse","avg_ttft_s",0.895915550333545
"202604150228_musique_curve.output","musique",0.15,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique",0.15,"full_reuse","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique",0.15,"full_prefill","avg_ttft_s",1.34153781280038
"202604150228_musique_curve.output","musique",0.15,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique",0.15,"full_prefill","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique",0.15,"query_aware","avg_ttft_s",1.31367720310033
"202604150228_musique_curve.output","musique",0.15,"query_aware","avg_total_s",1.56024969946666
"202604150228_musique_curve.output","musique",0.15,"query_aware","avg_f1",0.12120292561469
"202604150228_musique_curve.output","musique",0.15,NA,"avg_ttft_s",2.27484676986654
"202604150228_musique_curve.output","musique",0.15,NA,"avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique",0.15,NA,"avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique",0.15,"query_aware","true_recompute_count",30
"202604150228_musique_curve.output","musique",0.2,"full_reuse","avg_ttft_s",0.895915550333545
