dataset,evidence_hit,evidence_recall,evidence_tokens,method,ratio,sample_id,sample_idx,selected_tokens
musique,0.0,0.0,26,random,0.0,1,1,0
musique,0.0,0.0,26,chunk_head,0.0,1,1,0
musique,0.0,0.0,26,embedding_max,0.0,1,1,0
musique,0.0,0.0,26,embedding_mean_query,0.0,1,1,0
musique,0.0,0.0,26,embedding_last_query,0.0,1,1,0
musique,1.0,0.07692307692307693,26,random,0.1,1,1,400
musique,0.0,0.0,26,chunk_head,0.1,1,1,400
musique,1.0,0.07692307692307693,26,embedding_max,0.1,1,1,400
musique,1.0,0.15384615384615385,26,embedding_mean_query,0.1,1,1,400
musique,1.0,0.19230769230769232,26,embedding_last_query,0.1,1,1,400
musique,1.0,0.3076923076923077,26,random,0.2,1,1,801
musique,0.0,0.0,26,chunk_head,0.2,1,1,801
musique,1.0,0.3076923076923077,26,embedding_max,0.2,1,1,801
musique,1.0,0.3076923076923077,26,embedding_mean_query,0.2,1,1,801
musique,1.0,0.3076923076923077,26,embedding_last_query,0.2,1,1,801
musique,1.0,0.3076923076923077,26,random,0.3,1,1,1201
musique,0.0,0.0,26,chunk_head,0.3,1,1,1201
musique,1.0,0.46153846153846156,26,embedding_max,0.3,1,1,1201
musique,1.0,0.46153846153846156,26,embedding_mean_query,0.3,1,1,1201
musique,1.0,0.3076923076923077,26,embedding_last_query,0.3,1,1,1201
musique,1.0,0.2692307692307692,26,random,0.4,1,1,1602
musique,0.0,0.0,26,chunk_head,0.4,1,1,1602
musique,1.0,0.6153846153846154,26,embedding_max,0.4,1,1,1602
musique,1.0,0.46153846153846156,26,embedding_mean_query,0.4,1,1,1602
musique,1.0,0.46153846153846156,26,embedding_last_query,0.4,1,1,1602
musique,1.0,0.46153846153846156,26,random,0.5,1,1,2003
musique,0.0,0.0,26,chunk_head,0.5,1,1,2003
musique,1.0,0.6153846153846154,26,embedding_max,0.5,1,1,2003
musique,1.0,0.5384615384615384,26,embedding_mean_query,0.5,1,1,2003
musique,1.0,0.6923076923076923,26,embedding_last_query,0.5,1,1,2003
musique,1.0,0.6538461538461539,26,random,0.6,1,1,2403
musique,0.0,0.0,26,chunk_head,0.6,1,1,2403
musique,1.0,0.7692307692307693,26,embedding_max,0.6,1,1,2403
musique,1.0,0.7692307692307693,26,embedding_mean_query,0.6,1,1,2403
musique,1.0,0.6923076923076923,26,embedding_last_query,0.6,1,1,2403
musique,1.0,0.7692307692307693,26,random,0.7,1,1,2804
musique,1.0,0.5,26,chunk_head,0.7,1,1,2804
musique,1.0,0.9230769230769231,26,embedding_max,0.7,1,1,2804
musique,1.0,0.7692307692307693,26,embedding_mean_query,0.7,1,1,2804
musique,1.0,0.6923076923076923,26,embedding_last_query,0.7,1,1,2804
musique,1.0,0.8461538461538461,26,random,0.8,1,1,3204
musique,1.0,1.0,26,chunk_head,0.8,1,1,3204
musique,1.0,0.9230769230769231,26,embedding_max,0.8,1,1,3204
musique,1.0,0.8461538461538461,26,embedding_mean_query,0.8,1,1,3204
musique,1.0,0.6923076923076923,26,embedding_last_query,0.8,1,1,3204
musique,1.0,0.8461538461538461,26,random,0.9,1,1,3605
musique,1.0,1.0,26,chunk_head,0.9,1,1,3605
musique,1.0,0.9230769230769231,26,embedding_max,0.9,1,1,3605
musique,1.0,0.9230769230769231,26,embedding_mean_query,0.9,1,1,3605
musique,1.0,0.8461538461538461,26,embedding_last_query,0.9,1,1,3605
musique,1.0,1.0,26,random,1.0,1,1,4006
musique,1.0,1.0,26,chunk_head,1.0,1,1,4006
musique,1.0,1.0,26,embedding_max,1.0,1,1,4006
musique,1.0,1.0,26,embedding_mean_query,1.0,1,1,4006
musique,1.0,1.0,26,embedding_last_query,1.0,1,1,4006
musique,0.0,0.0,65,random,0.0,2,2,0
musique,0.0,0.0,65,chunk_head,0.0,2,2,0
musique,0.0,0.0,65,embedding_max,0.0,2,2,0
musique,0.0,0.0,65,embedding_mean_query,0.0,2,2,0
musique,0.0,0.0,65,embedding_last_query,0.0,2,2,0
musique,1.0,0.12307692307692308,65,random,0.1,2,2,400
musique,1.0,0.2,65,chunk_head,0.1,2,2,400
musique,1.0,0.07692307692307693,65,embedding_max,0.1,2,2,400
musique,1.0,0.16923076923076924,65,embedding_mean_query,0.1,2,2,400
musique,1.0,0.15384615384615385,65,embedding_last_query,0.1,2,2,400
musique,1.0,0.13846153846153847,65,random,0.2,2,2,801
musique,1.0,0.2,65,chunk_head,0.2,2,2,801
musique,1.0,0.3230769230769231,65,embedding_max,0.2,2,2,801
musique,1.0,0.27692307692307694,65,embedding_mean_query,0.2,2,2,801
musique,1.0,0.23076923076923078,65,embedding_last_query,0.2,2,2,801
musique,1.0,0.24615384615384617,65,random,0.3,2,2,1202
musique,1.0,0.4,65,chunk_head,0.3,2,2,1202
musique,1.0,0.46153846153846156,65,embedding_max,0.3,2,2,1202
musique,1.0,0.3076923076923077,65,embedding_mean_query,0.3,2,2,1202
musique,1.0,0.23076923076923078,65,embedding_last_query,0.3,2,2,1202
musique,1.0,0.3384615384615385,65,random,0.4,2,2,1603
musique,1.0,0.4,65,chunk_head,0.4,2,2,1603
musique,1.0,0.46153846153846156,65,embedding_max,0.4,2,2,1603
