dataset,mean_evidence_hit,mean_evidence_recall,method,ratio,sample_count
musique,0.0,0.0,chunk_head,0.0,64
musique,0.453125,0.12423853320592453,chunk_head,0.1,64
musique,0.59375,0.2326119306418219,chunk_head,0.2,64
musique,0.65625,0.3183262163561076,chunk_head,0.3,64
musique,0.71875,0.42261904761904767,chunk_head,0.4,64
musique,0.796875,0.543936011904762,chunk_head,0.5,64
musique,0.8125,0.6313988095238096,chunk_head,0.6,64
musique,0.890625,0.7224330357142856,chunk_head,0.7,64
musique,0.9375,0.8241243131868131,chunk_head,0.8,64
musique,0.96875,0.8902672847985346,chunk_head,0.9,64
musique,1.0,1.0,chunk_head,1.0,64
musique,0.0,0.0,embedding_last_query,0.0,64
musique,0.953125,0.09829690641768936,embedding_last_query,0.1,64
musique,1.0,0.1586774406357185,embedding_last_query,0.2,64
musique,1.0,0.2488180645661202,embedding_last_query,0.3,64
musique,1.0,0.35490087148879956,embedding_last_query,0.4,64
musique,1.0,0.46130118849801105,embedding_last_query,0.5,64
musique,1.0,0.5510646379693986,embedding_last_query,0.6,64
musique,1.0,0.6389846658139363,embedding_last_query,0.7,64
musique,1.0,0.7644847938075069,embedding_last_query,0.8,64
musique,1.0,0.8809640404167074,embedding_last_query,0.9,64
musique,1.0,1.0,embedding_last_query,1.0,64
musique,0.0,0.0,embedding_max,0.0,64
musique,0.78125,0.0978845986857822,embedding_max,0.1,64
musique,0.984375,0.1989744643580564,embedding_max,0.2,64
musique,1.0,0.2983061672914045,embedding_max,0.3,64
musique,1.0,0.39816957079406945,embedding_max,0.4,64
musique,1.0,0.48874362568107094,embedding_max,0.5,64
musique,1.0,0.5976436214897345,embedding_max,0.6,64
musique,1.0,0.7366440492109901,embedding_max,0.7,64
musique,1.0,0.8146104745998689,embedding_max,0.8,64
musique,1.0,0.9166311704044111,embedding_max,0.9,64
musique,1.0,1.0,embedding_max,1.0,64
musique,0.0,0.0,embedding_mean_query,0.0,64
musique,0.78125,0.10015330107337043,embedding_mean_query,0.1,64
musique,0.921875,0.18084645861623114,embedding_mean_query,0.2,64
musique,1.0,0.28022027322377935,embedding_mean_query,0.3,64
musique,1.0,0.37477743928645785,embedding_mean_query,0.4,64
musique,1.0,0.46943427608769384,embedding_mean_query,0.5,64
musique,1.0,0.5625203785279955,embedding_mean_query,0.6,64
musique,1.0,0.6654581599672156,embedding_mean_query,0.7,64
musique,1.0,0.785123531515779,embedding_mean_query,0.8,64
musique,1.0,0.8978065219204354,embedding_mean_query,0.9,64
musique,1.0,1.0,embedding_mean_query,1.0,64
musique,0.0,0.0,random,0.0,64
musique,0.9375,0.10214404304571159,random,0.1,64
musique,1.0,0.19188826523594088,random,0.2,64
musique,1.0,0.30039278006756587,random,0.3,64
musique,1.0,0.3951769421013946,random,0.4,64
musique,1.0,0.5089037604710481,random,0.5,64
musique,1.0,0.5965273699628667,random,0.6,64
musique,1.0,0.7053172267264002,random,0.7,64
musique,1.0,0.7944925613362204,random,0.8,64
musique,1.0,0.8997603443422925,random,0.9,64
musique,1.0,1.0,random,1.0,64
wikimqa,0.0,0.0,chunk_head,0.0,48
wikimqa,0.3958333333333333,0.24102726728333848,chunk_head,0.1,48
wikimqa,0.5625,0.4135117255617236,chunk_head,0.2,48
wikimqa,0.6666666666666666,0.5283046822180703,chunk_head,0.3,48
wikimqa,0.7916666666666666,0.6729068574280367,chunk_head,0.4,48
wikimqa,0.8958333333333334,0.77736022954258,chunk_head,0.5,48
wikimqa,0.9375,0.8544128489068724,chunk_head,0.6,48
wikimqa,0.9375,0.8726072933513169,chunk_head,0.7,48
wikimqa,0.9583333333333334,0.9122115735855183,chunk_head,0.8,48
wikimqa,0.9583333333333334,0.9452749140893472,chunk_head,0.9,48
wikimqa,1.0,1.0,chunk_head,1.0,48
wikimqa,0.0,0.0,embedding_last_query,0.0,48
wikimqa,0.9166666666666666,0.10086318504086249,embedding_last_query,0.1,48
wikimqa,0.9791666666666666,0.18658865549892953,embedding_last_query,0.2,48
wikimqa,1.0,0.3049535440689967,embedding_last_query,0.3,48
wikimqa,1.0,0.4071262210352214,embedding_last_query,0.4,48
wikimqa,1.0,0.5007136338582355,embedding_last_query,0.5,48
wikimqa,1.0,0.5851771139754239,embedding_last_query,0.6,48
wikimqa,1.0,0.695601248802498,embedding_last_query,0.7,48
wikimqa,1.0,0.7993869436843526,embedding_last_query,0.8,48
wikimqa,1.0,0.8908766011367746,embedding_last_query,0.9,48
wikimqa,1.0,1.0,embedding_last_query,1.0,48
wikimqa,0.0,0.0,embedding_max,0.0,48
wikimqa,0.9166666666666666,0.17504548980812906,embedding_max,0.1,48
wikimqa,0.9791666666666666,0.32561515574726546,embedding_max,0.2,48
wikimqa,1.0,0.42842779122987035,embedding_max,0.3,48
wikimqa,1.0,0.533486450698151,embedding_max,0.4,48
wikimqa,1.0,0.6211986567167028,embedding_max,0.5,48
wikimqa,1.0,0.7013375886735934,embedding_max,0.6,48
wikimqa,1.0,0.7762600033225479,embedding_max,0.7,48
wikimqa,1.0,0.856373783658467,embedding_max,0.8,48
wikimqa,1.0,0.9139256388014328,embedding_max,0.9,48
wikimqa,1.0,1.0,embedding_max,1.0,48
wikimqa,0.0,0.0,embedding_mean_query,0.0,48
wikimqa,0.8541666666666666,0.15757122503653193,embedding_mean_query,0.1,48
wikimqa,0.9583333333333334,0.284965992732831,embedding_mean_query,0.2,48
wikimqa,1.0,0.40624346215822477,embedding_mean_query,0.3,48
wikimqa,1.0,0.4913283568237336,embedding_mean_query,0.4,48
wikimqa,1.0,0.5864251110378417,embedding_mean_query,0.5,48
wikimqa,1.0,0.6808909234096575,embedding_mean_query,0.6,48
wikimqa,1.0,0.7627359370063448,embedding_mean_query,0.7,48
wikimqa,1.0,0.8256048643443231,embedding_mean_query,0.8,48
wikimqa,1.0,0.9202940780084524,embedding_mean_query,0.9,48
wikimqa,1.0,1.0,embedding_mean_query,1.0,48
wikimqa,0.0,0.0,random,0.0,48
wikimqa,0.8958333333333334,0.10657884486342585,random,0.1,48
wikimqa,1.0,0.21135830046763593,random,0.2,48
wikimqa,1.0,0.3006287876116865,random,0.3,48
wikimqa,1.0,0.4266066724367257,random,0.4,48
wikimqa,1.0,0.4948073394559352,random,0.5,48
wikimqa,1.0,0.6053499837352373,random,0.6,48
wikimqa,1.0,0.6953768045173274,random,0.7,48
wikimqa,1.0,0.7932617869687973,random,0.8,48
wikimqa,1.0,0.8994896984729764,random,0.9,48
wikimqa,1.0,1.0,random,1.0,48
