dataset,reason,sample_id,sample_idx
musique,"CUDA out of memory. Tried to allocate 4.91 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.99 GiB is allocated by PyTorch, and 117.81 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",1,1
musique,"CUDA out of memory. Tried to allocate 4.60 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.51 GiB is allocated by PyTorch, and 617.78 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",2,2
musique,"CUDA out of memory. Tried to allocate 4.67 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.62 GiB is allocated by PyTorch, and 502.82 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",3,3
musique,"CUDA out of memory. Tried to allocate 4.59 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.49 GiB is allocated by PyTorch, and 636.46 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",4,4
musique,"CUDA out of memory. Tried to allocate 4.84 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.88 GiB is allocated by PyTorch, and 231.52 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",5,5
musique,"CUDA out of memory. Tried to allocate 4.66 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.61 GiB is allocated by PyTorch, and 514.59 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",6,6
musique,"CUDA out of memory. Tried to allocate 4.46 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.29 GiB is allocated by PyTorch, and 839.13 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",7,7
musique,"CUDA out of memory. Tried to allocate 4.73 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.72 GiB is allocated by PyTorch, and 403.58 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",8,8
musique,"CUDA out of memory. Tried to allocate 4.87 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.92 GiB is allocated by PyTorch, and 190.98 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",9,9
musique,"CUDA out of memory. Tried to allocate 4.58 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.48 GiB is allocated by PyTorch, and 643.46 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",10,10
musique,"CUDA out of memory. Tried to allocate 4.64 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.57 GiB is allocated by PyTorch, and 549.85 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",11,11
musique,"CUDA out of memory. Tried to allocate 4.74 GiB. GPU 0 has a total capacity of 23.56 GiB of which 4.13 GiB is free. Including non-PyTorch memory, this process has 19.42 GiB memory in use. Of the allocated memory 18.72 GiB is allocated by PyTorch, and 398.84 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",12,12
