dataset,reason,sample_id,sample_idx
samsum,"CUDA out of memory. Tried to allocate 1.13 GiB. GPU 0 has a total capacity of 23.56 GiB of which 417.25 MiB is free. Including non-PyTorch memory, this process has 23.14 GiB memory in use. Of the allocated memory 22.20 GiB is allocated by PyTorch, and 648.24 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",e5b2529de4edb475662403295e8fb4c639067de48ea3fa13,2
samsum,"CUDA out of memory. Tried to allocate 1.54 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.33 GiB is free. Including non-PyTorch memory, this process has 22.22 GiB memory in use. Of the allocated memory 19.99 GiB is allocated by PyTorch, and 1.92 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",77ead33295dc92287fbb9d0b6e86911ef1ef33d35fbb6f68,10
samsum,"CUDA out of memory. Tried to allocate 1.60 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1017.25 MiB is free. Including non-PyTorch memory, this process has 22.56 GiB memory in use. Of the allocated memory 20.29 GiB is allocated by PyTorch, and 1.96 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0b61c23fde58a1a29920fd2cf13ba9caf9dec377481563df,18
samsum,"CUDA out of memory. Tried to allocate 1.80 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.60 GiB is free. Including non-PyTorch memory, this process has 21.95 GiB memory in use. Of the allocated memory 19.61 GiB is allocated by PyTorch, and 2.04 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",5995658a6719fda93e3338b5bdb95ace008a41f8856f0a81,23
samsum,"CUDA out of memory. Tried to allocate 706.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 275.25 MiB is free. Including non-PyTorch memory, this process has 23.28 GiB memory in use. Of the allocated memory 20.36 GiB is allocated by PyTorch, and 2.61 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",2231482e3e63d5eb092d2b33f2a64221fea97ad0ad2b7345,35
samsum,"CUDA out of memory. Tried to allocate 532.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 275.25 MiB is free. Including non-PyTorch memory, this process has 23.28 GiB memory in use. Of the allocated memory 19.70 GiB is allocated by PyTorch, and 3.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",c5bfa03464d2c2b15aae0ce2028366bc2ba856e115dafe6d,42
samsum,"CUDA out of memory. Tried to allocate 982.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 275.25 MiB is free. Including non-PyTorch memory, this process has 23.28 GiB memory in use. Of the allocated memory 18.62 GiB is allocated by PyTorch, and 4.35 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0f77948ea5b4eeda18bcc77696068cf78078bbba56873cdb,47
samsum,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 20.51 GiB is allocated by PyTorch, and 2.07 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",f610a9277f835ce98ed109bc091260a7df3f1005aca8ec55,55
samsum,"CUDA out of memory. Tried to allocate 736.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 19.67 GiB is allocated by PyTorch, and 2.91 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",06579eaea3267676100c47cf3a32d27623e0f0baf0eeede1,58
samsum,"CUDA out of memory. Tried to allocate 958.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 21.25 GiB is allocated by PyTorch, and 1.33 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",c89203964d38b3c472e1c3b4f6757f4a816a004afb9be3af,67
samsum,"CUDA out of memory. Tried to allocate 1.55 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 19.25 GiB is allocated by PyTorch, and 3.33 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",6a2889066f8036215df285eb1a817932b5cc088e9254ae4d,73
samsum,"CUDA out of memory. Tried to allocate 1.73 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 20.13 GiB is allocated by PyTorch, and 2.45 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",ebb6ad57d4118e3275c3109c5fdeca9299110db1ffda0924,87
samsum,"CUDA out of memory. Tried to allocate 1.68 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 19.87 GiB is allocated by PyTorch, and 2.71 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0d0b1c51ccc5106ef10d27b869a04e54c9ffd5074ace32e4,88
samsum,"CUDA out of memory. Tried to allocate 1.11 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 18.68 GiB is allocated by PyTorch, and 3.90 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",edfd7d3c1d103d813c255f8133a878ca477cd4ab20aa3923,91
samsum,"CUDA out of memory. Tried to allocate 976.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 19.53 GiB is allocated by PyTorch, and 3.05 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",100d6b1317c0e92000461be559a341f8b821838f88b7cc35,99
samsum,"CUDA out of memory. Tried to allocate 1.64 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 19.72 GiB is allocated by PyTorch, and 2.87 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",4a8f9c776ba291feb3248d8e21a9c5a4992b669d1e687be3,104
samsum,"CUDA out of memory. Tried to allocate 1.44 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 18.67 GiB is allocated by PyTorch, and 3.91 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",d322965a8236938c5c43026218c3b432a2116b0b8af4bbe4,105
samsum,"CUDA out of memory. Tried to allocate 1.78 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 20.42 GiB is allocated by PyTorch, and 2.16 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",93fed7486289a18c34997eaf2ef48fb87a98e88e730e0708,116
samsum,"CUDA out of memory. Tried to allocate 1.75 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 20.26 GiB is allocated by PyTorch, and 2.32 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",e1acf63c6bb81e10190f6508666809930a44b4e4aadbe60f,117
samsum,"CUDA out of memory. Tried to allocate 656.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 21.25 MiB is free. Including non-PyTorch memory, this process has 23.53 GiB memory in use. Of the allocated memory 20.70 GiB is allocated by PyTorch, and 2.53 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",4d088d03f6793851554a7cc0da295d3039bb246c521eaa39,130
samsum,"CUDA out of memory. Tried to allocate 1.90 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 21.01 GiB is allocated by PyTorch, and 1.57 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",5043e9d1973f26110634885ad76579372fc3384850981bfb,131
samsum,"CUDA out of memory. Tried to allocate 1.36 GiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 18.28 GiB is allocated by PyTorch, and 4.31 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",95d0c2004805a0f406b92cd01b11b761424dc313c2140a4a,137
samsum,"CUDA out of memory. Tried to allocate 968.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 677.25 MiB is free. Including non-PyTorch memory, this process has 22.89 GiB memory in use. Of the allocated memory 19.47 GiB is allocated by PyTorch, and 3.12 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",4a7ffd0f5b2b58da2ceee555d98434732960de40304014a5,138
