"source_file","source_path","script","dataset","model","qaw_ratio","sample_idx","chunk_num","method_key","method","f1","total_s","ttft_s","recomputed_tokens","true_recompute","dataset_label","dataset_score_label","model_label","qaw_ratio_label"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,1,10,"full_reuse","Full Reuse",0.666666666666667,0.529696801000227,0.296277067000119,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,1,10,"query_aware","Query-Aware",0,1.33054289099982,1.15807510700006,3798,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,1,10,"full_prefill","Full Prefill",0.333333333333333,1.76738843500016,1.29116651000004,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,2,10,"full_reuse","Full Reuse",1,0.44000826499996,0.297944068000106,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,2,10,"query_aware","Query-Aware",0.5,1.1540779879997,1.01353472599976,3673,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,2,10,"full_prefill","Full Prefill",1,1.39082160199996,1.24952077799981,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,3,10,"full_reuse","Full Reuse",0,0.483055410999896,0.28874068999994,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,3,10,"query_aware","Query-Aware",0.5,1.18017398600023,1.01736476899987,3702,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,3,10,"full_prefill","Full Prefill",0,1.42342242700033,1.25342566800009,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,4,10,"full_reuse","Full Reuse",0.333333333333333,0.41675313099995,0.285155093999947,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,4,10,"query_aware","Query-Aware",0.285714285714286,1.20231635900018,1.0053186060004,3670,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,4,10,"full_prefill","Full Prefill",0.8,1.53890925999985,1.25124894199962,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,5,10,"full_reuse","Full Reuse",0,0.871605082999849,0.297294322999733,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,5,10,"query_aware","Query-Aware",1,1.17333748099963,1.0098022899997,3768,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,5,10,"full_prefill","Full Prefill",1,1.46168921200024,1.28748416300004,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,6,10,"full_reuse","Full Reuse",1,0.452874021000298,0.289389634000145,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,6,10,"query_aware","Query-Aware",1,1.1705700880002,1.00642397799993,3697,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,6,10,"full_prefill","Full Prefill",0,1.39547727799982,1.25964855099983,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,7,10,"full_reuse","Full Reuse",0,0.358806081000239,0.288650915000289,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,7,10,"query_aware","Query-Aware",0,1.11318814800006,1.01181636399997,3614,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,7,10,"full_prefill","Full Prefill",0,1.35000619799985,1.2470813609998,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,8,10,"full_reuse","Full Reuse",0,0.45160245399984,0.288000996999926,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,8,10,"query_aware","Query-Aware",0,1.17511178799987,1.01120259400022,3726,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,8,10,"full_prefill","Full Prefill",0,1.45327846300006,1.28530296700001,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,9,10,"full_reuse","Full Reuse",0.266666666666667,0.514333906000047,0.284941505000006,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,9,10,"query_aware","Query-Aware",0.266666666666667,1.23039135699992,1.06579774900001,3776,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,9,10,"full_prefill","Full Prefill",0,1.46649187100002,1.30104551000022,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,10,10,"full_reuse","Full Reuse",0,0.41634956300004,0.28429794900012,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,10,10,"query_aware","Query-Aware",0,1.17523104100019,1.01216966699985,3666,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,10,10,"full_prefill","Full Prefill",0,1.39529956599972,1.26238623600011,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,11,10,"full_reuse","Full Reuse",0,0.47439459799989,0.281161430999873,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,11,10,"query_aware","Query-Aware",1,1.209955498,1.00856470999997,3688,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,11,10,"full_prefill","Full Prefill",1,1.46316143900003,1.26832105800031,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,12,10,"full_reuse","Full Reuse",0.4,0.446096412000315,0.28392663600016,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,12,10,"query_aware","Query-Aware",0.285714285714286,1.4835181389999,1.01224903499997,3725,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,12,10,"full_prefill","Full Prefill",0.333333333333333,1.48802232199978,1.29282547899993,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,13,10,"full_reuse","Full Reuse",1,0.645624253999813,0.287355816999934,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,13,10,"query_aware","Query-Aware",0,1.14449789999981,1.04140163500006,3823,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,13,10,"full_prefill","Full Prefill",0,1.60608341199986,1.31424494199973,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,14,10,"full_reuse","Full Reuse",1,0.380755460000273,0.282118103000357,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,14,10,"query_aware","Query-Aware",1,1.06604666800013,0.96575732500014,3474,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,14,10,"full_prefill","Full Prefill",1,1.28081836199999,1.17992456999991,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,15,10,"full_reuse","Full Reuse",0,1.35056941900029,0.33743583200021,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,15,10,"query_aware","Query-Aware",0,1.08087529499971,1.01093579299959,3644,TRUE,"Musique","Musique (F1)","Yi-6B","0.60"
"202604211904_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604211904_musique.output","example/blend_musique.py","musique","Yi-6B",0.6,15,10,"full_prefill","Full Prefill",0,1.45972150700027,1.26383796400023,NA,NA,"Musique","Musique (F1)","Yi-6B","0.60"
