"source_file","source_path","source_bucket","file_label","script","dataset","is_curve","curve_mode","count_hint","qaw_ratio_min","qaw_ratio_max","qaw_ratio_step","qaw_ratio_fixed","suffix_len_min","suffix_len_max","suffix_len_step","suffix_len_fixed","run_summary_count","sample_result_count","curve_first_group_dropped"
"202604162015_0416_musique_curve_025_100.output","/Users/doppler/Documents/Github/CacheBlend/outputs/0416_sum/202604162015_0416_musique_curve_025_100.output","0416_sum","0416_musique_curve_025_100","example/blend_musique_curve.py","musique",TRUE,"ratio_only",50,0.25,1,0.05,NA,NA,NA,NA,32,16,0,TRUE
"202604162038_0416_blend_curve_default.output","/Users/doppler/Documents/Github/CacheBlend/outputs/0416_sum/202604162038_0416_blend_curve_default.output","0416_sum","0416_blend_curve_default","example/blend_curve.py","musique",TRUE,"ratio_only",50,0,1,0.05,NA,NA,NA,NA,32,21,0,TRUE
"202604162059_0416_suffix_curve_musique_a.output","/Users/doppler/Documents/Github/CacheBlend/outputs/0416_sum/202604162059_0416_suffix_curve_musique_a.output","0416_sum","0416_suffix_curve_musique_a","example/blend_suffix_curve.py","musique",TRUE,"suffix_only",50,NA,NA,NA,0.7,0,32,8,NA,5,0,TRUE
"202604162109_0416_suffix_curve_musique_b.output","/Users/doppler/Documents/Github/CacheBlend/outputs/0416_sum/202604162109_0416_suffix_curve_musique_b.output","0416_sum","0416_suffix_curve_musique_b","example/blend_suffix_curve.py","musique",TRUE,"suffix_only",50,NA,NA,NA,0.7,0,32,8,NA,5,0,TRUE
"202604162246_0416_suffix_curve_wikimqa.output","/Users/doppler/Documents/Github/CacheBlend/outputs/0416_sum/202604162246_0416_suffix_curve_wikimqa.output","0416_sum","0416_suffix_curve_wikimqa","example/blend_suffix_curve.py","wikimqa",TRUE,"suffix_only",50,NA,NA,NA,0.7,0,32,8,NA,5,0,TRUE
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","blend","example/blend.py","blend_demo",FALSE,"non_curve",10,NA,NA,NA,NA,NA,NA,NA,NA,1,10,FALSE
"202604150057_wikimqa.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150057_wikimqa.output","useful","wikimqa","example/blend_wikimqa.py","wikimqa",FALSE,"non_curve",10,NA,NA,NA,NA,NA,NA,NA,NA,1,10,FALSE
"202604150228_musique_curve.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150228_musique_curve.output","useful","musique_curve","unknown","musique",FALSE,"non_curve",30,NA,NA,NA,NA,NA,NA,NA,NA,14,0,FALSE
"202604150243_musique_curve.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150243_musique_curve.output","useful","musique_curve","unknown","musique",FALSE,"non_curve",50,NA,NA,NA,NA,NA,NA,NA,NA,9,0,FALSE
"202604152121_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604152121_musique.output","useful","musique","example/blend_musique.py","musique",FALSE,"non_curve",30,NA,NA,NA,NA,NA,NA,NA,NA,1,30,FALSE
"202604152245_wikimqa_curve.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604152245_wikimqa_curve.output","useful","wikimqa_curve","example/blend_wikimqa_curve.py","wikimqa",TRUE,"ratio_only",50,0.6,1,0.05,NA,NA,NA,NA,32,9,0,TRUE
"202604160006_wikimqa.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604160006_wikimqa.output","useful","wikimqa","example/blend_wikimqa.py","wikimqa",FALSE,"non_curve",100,NA,NA,NA,0.7,NA,NA,NA,NA,0,30,FALSE
