"source_file","dataset","script","recomp_ratio","method","metric","value"
"202604150057_wikimqa.output","wikimqa","example/blend_wikimqa.py",NA,"full_reuse","avg_f1",0.133333333333333
"202604150057_wikimqa.output","wikimqa","example/blend_wikimqa.py",NA,"kv_diff","avg_f1",0.133333333333333
"202604150057_wikimqa.output","wikimqa","example/blend_wikimqa.py",NA,"query_aware","avg_f1",0.133333333333333
"202604150057_wikimqa.output","wikimqa","example/blend_wikimqa.py",NA,"full_prefill","avg_f1",0.133333333333333
"202604150228_musique_curve.output","musique","unknown",0.15,"full_reuse","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.15,"kv_diff","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.15,"query_aware","avg_f1",0.12120292561469
"202604150228_musique_curve.output","musique","unknown",0.15,"full_prefill","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.2,"full_reuse","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.2,"kv_diff","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.2,"query_aware","avg_f1",0.115343915343915
"202604150228_musique_curve.output","musique","unknown",0.2,"full_prefill","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.25,"full_reuse","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.25,"kv_diff","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.25,"query_aware","avg_f1",0.173650793650794
"202604150228_musique_curve.output","musique","unknown",0.25,"full_prefill","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.3,"full_reuse","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.3,"kv_diff","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.3,"query_aware","avg_f1",0.146378066378066
"202604150228_musique_curve.output","musique","unknown",0.3,"full_prefill","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.35,"full_reuse","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.35,"kv_diff","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.35,"query_aware","avg_f1",0.164491881043605
"202604150228_musique_curve.output","musique","unknown",0.35,"full_prefill","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.4,"full_reuse","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.4,"kv_diff","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.4,"query_aware","avg_f1",0.153909870461595
"202604150228_musique_curve.output","musique","unknown",0.4,"full_prefill","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.45,"full_reuse","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.45,"kv_diff","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.45,"query_aware","avg_f1",0.194553359526136
"202604150228_musique_curve.output","musique","unknown",0.45,"full_prefill","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.5,"full_reuse","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.5,"kv_diff","avg_f1",0.267200577200577
"202604150228_musique_curve.output","musique","unknown",0.5,"query_aware","avg_f1",0.160761460761461
