"source_file","dataset","script","recomp_ratio","method","metric","value"
"202604150012_blend.output","blend_demo","example/blend.py",NA,"full_reuse","avg_total_s",0.712006411699622
"202604150012_blend.output","blend_demo","example/blend.py",NA,"kv_diff","avg_total_s",1.51724058230029
"202604150012_blend.output","blend_demo","example/blend.py",NA,"query_aware","avg_total_s",0.736847539499649
"202604150012_blend.output","blend_demo","example/blend.py",NA,"full_prefill","avg_total_s",0.932062969500112
"202604150057_wikimqa.output","wikimqa","example/blend_wikimqa.py",NA,"full_reuse","avg_total_s",1.36833464529991
"202604150057_wikimqa.output","wikimqa","example/blend_wikimqa.py",NA,"kv_diff","avg_total_s",0.297413807699559
"202604150057_wikimqa.output","wikimqa","example/blend_wikimqa.py",NA,"query_aware","avg_total_s",0.293929433999801
"202604150057_wikimqa.output","wikimqa","example/blend_wikimqa.py",NA,"full_prefill","avg_total_s",1.66390119469979
"202604150228_musique_curve.output","musique","unknown",0.15,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.15,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.15,"query_aware","avg_total_s",1.56024969946666
"202604150228_musique_curve.output","musique","unknown",0.15,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.2,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.2,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.2,"query_aware","avg_total_s",0.573131575366157
"202604150228_musique_curve.output","musique","unknown",0.2,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.25,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.25,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.25,"query_aware","avg_total_s",0.614031691333366
"202604150228_musique_curve.output","musique","unknown",0.25,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.3,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.3,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.3,"query_aware","avg_total_s",0.720762884100016
"202604150228_musique_curve.output","musique","unknown",0.3,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.35,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.35,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.35,"query_aware","avg_total_s",0.799862336600078
"202604150228_musique_curve.output","musique","unknown",0.35,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.4,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.4,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.4,"query_aware","avg_total_s",0.873571261466229
"202604150228_musique_curve.output","musique","unknown",0.4,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.45,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.45,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.45,"query_aware","avg_total_s",0.948750032533038
"202604150228_musique_curve.output","musique","unknown",0.45,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.5,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.5,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.5,"query_aware","avg_total_s",1.01530688413332
"202604150228_musique_curve.output","musique","unknown",0.5,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.55,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.55,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.55,"query_aware","avg_total_s",1.09868100380021
"202604150228_musique_curve.output","musique","unknown",0.55,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.6,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.6,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.6,"query_aware","avg_total_s",1.12985919506658
"202604150228_musique_curve.output","musique","unknown",0.6,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.65,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.65,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.65,"query_aware","avg_total_s",1.21863035653369
"202604150228_musique_curve.output","musique","unknown",0.65,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.7,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.7,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.7,"query_aware","avg_total_s",1.26415099419986
"202604150228_musique_curve.output","musique","unknown",0.7,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.75,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.75,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.75,"query_aware","avg_total_s",1.3283199851001
"202604150228_musique_curve.output","musique","unknown",0.75,"full_prefill","avg_total_s",1.56024042703381
"202604150228_musique_curve.output","musique","unknown",0.8,"full_reuse","avg_total_s",1.11173439420005
"202604150228_musique_curve.output","musique","unknown",0.8,"kv_diff","avg_total_s",2.49330399516645
"202604150228_musique_curve.output","musique","unknown",0.8,"query_aware","avg_total_s",1.39300010540004
"202604150228_musique_curve.output","musique","unknown",0.8,"full_prefill","avg_total_s",1.56024042703381
"202604150243_musique_curve.output","musique","unknown",0.4,"full_reuse","avg_total_s",1.14111744448004
"202604150243_musique_curve.output","musique","unknown",0.4,"kv_diff","avg_total_s",2.51892727157996
"202604150243_musique_curve.output","musique","unknown",0.4,"query_aware","avg_total_s",1.91565997576028
"202604150243_musique_curve.output","musique","unknown",0.4,"full_prefill","avg_total_s",1.55589927539972
"202604150243_musique_curve.output","musique","unknown",0.45,"full_reuse","avg_total_s",1.14111744448004
"202604150243_musique_curve.output","musique","unknown",0.45,"kv_diff","avg_total_s",2.51892727157996
"202604150243_musique_curve.output","musique","unknown",0.45,"query_aware","avg_total_s",0.987899260840131
"202604150243_musique_curve.output","musique","unknown",0.45,"full_prefill","avg_total_s",1.55589927539972
"202604150243_musique_curve.output","musique","unknown",0.5,"full_reuse","avg_total_s",1.14111744448004
"202604150243_musique_curve.output","musique","unknown",0.5,"kv_diff","avg_total_s",2.51892727157996
"202604150243_musique_curve.output","musique","unknown",0.5,"query_aware","avg_total_s",1.01543202479996
"202604150243_musique_curve.output","musique","unknown",0.5,"full_prefill","avg_total_s",1.55589927539972
"202604150243_musique_curve.output","musique","unknown",0.55,"full_reuse","avg_total_s",1.14111744448004
"202604150243_musique_curve.output","musique","unknown",0.55,"kv_diff","avg_total_s",2.51892727157996
"202604150243_musique_curve.output","musique","unknown",0.55,"query_aware","avg_total_s",1.05373207694007
